	-0.2767
00	0.0606
1	0.0083
10	0.0061
11	0.0025
13	0.0030
15	0.0030
16	0.0030
2	0.0157
20	0.0091
2004	0.0061
2006	0.0151
2007	0.0046
21	0.0182
22	0.0182
23	0.0061
24	0.0046
25	0.0030
26	0.0061
3	0.0121
35	0.0030
4	0.0136
5	0.0027
6	0.0030
7	0.0027
8	0.0061
ALBUM	0.0030
BANG	0.0075
BIG	0.0030
BLUE	0.0030
CHINATOWN	0.0030
CITY	0.0030
CM	0.0027
COYOTE	0.0030
DISH	0.0030
DRIVER	0.0030
Daytona	0.0030
Do	0.0075
FAMOSO	0.0030
FNS	0.0091
FROM	0.0030
FUEL	0.0030
GOLD	0.0030
GTR	0.0030
HEART	0.0030
HEAVY	0.0030
HONG	0.0030
I	0.0030
JRN	0.0030
Jr	0.0030
KONG	0.0030
LAST	0.0030
LIGHT	0.0054
LIVE	0.0054
LOVE	0.0014
MONO	0.0030
Museum	0.0027
Music	0.0030
N	0.0030
NHK	0.0030
NIGHT	0.0030
NUMBER	0.0030
OF	0.0061
PILE	0.0030
PM	0.0030
PU	0.0075
REVENGE	0.0030
ROCK	0.0030
ROLL	0.0030
SEASON	0.0030
SHOW	0.0030
SP	0.0030
TBS	0.0169
TOKOROZAWA	0.0030
TOKYO	0.0054
TV	0.0054
Tシャツ	0.0030
WA	0.0030
WITH	0.0030
Wikipedia	0.0030
ZZZ	0.0030
a	0.0027
by	0.0027
got	0.0030
mix	0.0030
ve	0.0030
Ⅱ	0.0030
あまり	0.0030
あら	0.0030
ある	0.0075
いい	0.0182
いきなり	0.0030
いく	0.0027
いる	0.0275
う	0.0030
うち	0.0061
え	0.0030
えて	0.0030
えらい	0.0054
お	0.0182
おとな	0.0075
おもしろい	0.0030
お正月	0.0030
お笑い	0.0061
かぎる	0.0054
かける	0.0061
かつて	0.0027
からだ	0.0030
がる	0.0023
くらべる	0.0030
くり	0.0023
くる	0.0061
くれる	0.0030
ぐいすあんのくるみまんじゅう	0.0030
こぎつける	0.0030
こちら	0.0030
こと	0.0121
ことごとく	0.0030
この	0.0109
こめる	0.0030
これ	0.0030
ご	0.0061
ごい	0.0054
さ	0.0023
させる	0.0030
さん	0.0848
さんま	0.0109
しげる	0.0030
しばらく	0.0030
しまう	0.0091
しゃべる	0.0030
しん	0.0030
すい	0.0030
すぎ	0.0054
すく	0.0030
すじ	0.0030
する	0.0318
せる	0.0061
そこ	0.0030
それ	0.0030
そんな	0.0030
たけし	0.0075
たち	0.0030
たま	0.0027
ため	0.0054
ちぎる	0.0030
ちゃん	0.0025
ちゃんと	0.0054
っきり	0.0030
つかう	0.0030
つける	0.0030
てる	0.0061
とき	0.0030
ところ	0.0030
とんでも	0.0030
どころ	0.0030
どちら	0.0030
ない	0.0242
なる	0.0025
の	0.0091
はい	0.0030
はがき	0.0030
はじめて	0.0030
ひっかける	0.0030
ぷっつん	0.0030
ほる	0.0030
ほんとう	0.0030
まっか	0.0030
まったく	0.0030
まね	0.0030
まる	0.0030
まんじゅう	0.0030
みつ	0.0030
みる	0.0030
みんな	0.0030
もしも	0.0030
もの	0.0030
やく	0.0030
やまだ	0.0030
やる	0.0054
やる気	0.0030
られる	0.0054
れる	0.0107
わかる	0.0030
ん	0.0027
アシスタント	0.0075
アナウンサー	0.0081
アホ	0.0030
